arrival_time,departure_time,drop_off_type,pickup_type,shape_dist_traveled,stop_headsign,stop_id,stop_sequence,timepoint,trip_id
12:20:00,12:20:00,0,0,,,2489,1,1,111-1-61,
17:00:00,17:00:00,0,0,,,2489,1,1,111-1-69,
17:50:00,17:50:00,0,0,,,2489,1,1,111-1-70,
18:20:00,18:20:00,0,0,,,2489,1,1,111-1-71,
18:30:00,18:30:00,0,0,,,2489,1,1,111-1-72,
15:25:00,15:25:00,0,0,,,2489,1,1,111-1-65,
16:15:00,16:15:00,0,0,,,2489,1,1,111-1-66,
16:40:00,16:40:00,0,0,,,2489,1,1,111-1-67,
16:50:00,16:50:00,0,0,,,2489,1,1,111-1-68,
20:00:00,20:00:00,0,0,,,2489,1,1,111-1-77,
20:05:00,20:05:00,0,0,,,2489,1,1,111-1-78,
20:10:00,20:10:00,0,0,,,2489,1,1,111-1-79,
21:55:00,21:55:00,0,0,,,2489,1,1,111-1-80,
18:40:00,18:40:00,0,0,,,2489,1,1,111-1-73,
18:50:00,18:50:00,0,0,,,2489,1,1,111-1-74,
19:40:00,19:40:00,0,0,,,2489,1,1,111-1-75,
19:55:00,19:55:00,0,0,,,2489,1,1,111-1-76,
12:00:00,12:00:00,0,0,,,2489,1,1,111A-1-86,
10:05:00,10:05:00,0,0,,,2489,1,1,111A-1-85,
16:00:00,16:00:00,0,0,,,2489,1,1,111A-1-88,
14:50:00,14:50:00,0,0,,,2489,1,1,111A-1-87,
22:05:00,22:05:00,0,0,,,2489,1,1,111-1-82,
22:00:00,22:00:00,0,0,,,2489,1,1,111-1-81,
08:35:00,08:35:00,0,0,,,2489,1,1,111A-1-84,
07:10:00,07:10:00,0,0,,,2489,1,1,111A-1-83,
07:10:00,07:10:00,0,0,,,2299,1,1,111C-1-94,
06:50:00,06:50:00,0,0,,,2299,1,1,111C-1-93,
08:20:00,08:20:00,0,0,,,2299,1,1,111C-1-96,
07:55:00,07:55:00,0,0,,,2299,1,1,111C-1-95,
19:25:00,19:25:00,0,0,,,2489,1,1,111A-1-90,
17:55:00,17:55:00,0,0,,,2489,1,1,111A-1-89,
05:45:00,05:45:00,0,0,,,2299,1,1,111C-1-92,
04:30:00,04:30:00,0,0,,,2299,1,1,111C-1-91,
11:30:00,11:30:00,0,0,,,2299,1,1,111C-1-103,
11:50:00,11:50:00,0,0,,,2299,1,1,111C-1-104,
10:25:00,10:25:00,0,0,,,2299,1,1,111C-1-101,
10:55:00,10:55:00,0,0,,,2299,1,1,111C-1-102,
10:00:00,10:00:00,0,0,,,2299,1,1,111C-1-99,
10:20:00,10:20:00,0,0,,,2299,1,1,111C-1-100,
08:40:00,08:40:00,0,0,,,2299,1,1,111C-1-97,
09:25:00,09:25:00,0,0,,,2299,1,1,111C-1-98,
15:50:00,15:50:00,0,0,,,2299,1,1,111C-1-111,
16:05:00,16:05:00,0,0,,,2299,1,1,111C-1-112,
14:50:00,14:50:00,0,0,,,2299,1,1,111C-1-109,
15:10:00,15:10:00,0,0,,,2299,1,1,111C-1-110,
13:25:00,13:25:00,0,0,,,2299,1,1,111C-1-107,
14:35:00,14:35:00,0,0,,,2299,1,1,111C-1-108,
12:25:00,12:25:00,0,0,,,2299,1,1,111C-1-105,
12:50:00,12:50:00,0,0,,,2299,1,1,111C-1-106,
20:05:00,20:05:00,0,0,,,2299,1,1,111C-1-120,
19:40:00,19:40:00,0,0,,,2299,1,1,111C-1-119,
19:25:00,19:25:00,0,0,,,2299,1,1,111C-1-118,
19:10:00,19:10:00,0,0,,,2299,1,1,111C-1-117,
18:20:00,18:20:00,0,0,,,2299,1,1,111C-1-116,
18:00:00,18:00:00,0,0,,,2299,1,1,111C-1-115,
17:45:00,17:45:00,0,0,,,2299,1,1,111C-1-114,
16:45:00,16:45:00,0,0,,,2299,1,1,111C-1-113,
12:55:00,12:55:00,0,0,,,1825,1,1,111E-1-128,
10:10:00,10:10:00,0,0,,,1825,1,1,111E-1-127,
07:45:00,07:45:00,0,0,,,1825,1,1,111E-1-126,
23:00:00,23:00:00,0,0,,,2299,1,1,111C-1-125,
22:50:00,22:50:00,0,0,,,2299,1,1,111C-1-124,
21:35:00,21:35:00,0,0,,,2299,1,1,111C-1-123,
20:55:00,20:55:00,0,0,,,2299,1,1,111C-1-122,
20:50:00,20:50:00,0,0,,,2299,1,1,111C-1-121,
08:05:00,08:05:00,0,0,,,3745,1,1,112-1-138,
07:40:00,07:40:00,0,0,,,3745,1,1,112-1-137,
08:30:00,08:30:00,0,0,,,3745,1,1,112-1-140,
08:20:00,08:20:00,0,0,,,3745,1,1,112-1-139,
08:40:00,08:40:00,0,0,,,3745,1,1,112-1-142,
08:35:00,08:35:00,0,0,,,3745,1,1,112-1-141,
09:25:00,09:25:00,0,0,,,3745,1,1,112-1-144,
09:00:00,09:00:00,0,0,,,3745,1,1,112-1-143,
17:45:00,17:45:00,0,0,,,1825,1,1,111E-1-130,
15:05:00,15:05:00,0,0,,,1825,1,1,111E-1-129,
06:05:00,06:05:00,0,0,,,3745,1,1,112-1-132,
20:10:00,20:10:00,0,0,,,1825,1,1,111E-1-131,
06:45:00,06:45:00,0,0,,,3745,1,1,112-1-134,
06:25:00,06:25:00,0,0,,,3745,1,1,112-1-133,
07:15:00,07:15:00,0,0,,,3745,1,1,112-1-136,
07:00:00,07:00:00,0,0,,,3745,1,1,112-1-135,
12:05:00,12:05:00,0,0,,,3745,1,1,112-1-153,
12:30:00,12:30:00,0,0,,,3745,1,1,112-1-154,
12:40:00,12:40:00,0,0,,,3745,1,1,112-1-155,
12:55:00,12:55:00,0,0,,,3745,1,1,112-1-156,
13:25:00,13:25:00,0,0,,,3745,1,1,112-1-157,
13:50:00,13:50:00,0,0,,,3745,1,1,112-1-158,
13:55:00,13:55:00,0,0,,,3745,1,1,112-1-159,
14:15:00,14:15:00,0,0,,,3745,1,1,112-1-160,
09:40:00,09:40:00,0,0,,,3745,1,1,112-1-145,
09:55:00,09:55:00,0,0,,,3745,1,1,112-1-146,
10:00:00,10:00:00,0,0,,,3745,1,1,112-1-147,
10:20:00,10:20:00,0,0,,,3745,1,1,112-1-148,
11:00:00,11:00:00,0,0,,,3745,1,1,112-1-149,
11:10:00,11:10:00,0,0,,,3745,1,1,112-1-150,
11:45:00,11:45:00,0,0,,,3745,1,1,112-1-151,
11:55:00,11:55:00,0,0,,,3745,1,1,112-1-152,
17:20:00,17:20:00,0,0,,,3745,1,1,112-1-172,
17:05:00,17:05:00,0,0,,,3745,1,1,112-1-171,
16:55:00,16:55:00,0,0,,,3745,1,1,112-1-170,
16:35:00,16:35:00,0,0,,,3745,1,1,112-1-169,
18:40:00,18:40:00,0,0,,,3745,1,1,112-1-176,
18:20:00,18:20:00,0,0,,,3745,1,1,112-1-175,
18:15:00,18:15:00,0,0,,,3745,1,1,112-1-174,
17:50:00,17:50:00,0,0,,,3745,1,1,112-1-173,
15:15:00,15:15:00,0,0,,,3745,1,1,112-1-164,
15:10:00,15:10:00,0,0,,,3745,1,1,112-1-163,
14:55:00,14:55:00,0,0,,,3745,1,1,112-1-162,
14:45:00,14:45:00,0,0,,,3745,1,1,112-1-161,
16:30:00,16:30:00,0,0,,,3745,1,1,112-1-168,
16:25:00,16:25:00,0,0,,,3745,1,1,112-1-167,
15:35:00,15:35:00,0,0,,,3745,1,1,112-1-166,
15:20:00,15:20:00,0,0,,,3745,1,1,112-1-165,
09:45:00,09:45:00,0,0,,,3745,1,1,112A-1-187,
10:55:00,10:55:00,0,0,,,3745,1,1,112A-1-188,
07:25:00,07:25:00,0,0,,,3745,1,1,112A-1-185,
08:35:00,08:35:00,0,0,,,3745,1,1,112A-1-186,
14:50:00,14:50:00,0,0,,,3745,1,1,112A-1-191,
16:00:00,16:00:00,0,0,,,3745,1,1,112A-1-192,
12:30:00,12:30:00,0,0,,,3745,1,1,112A-1-189,
13:40:00,13:40:00,0,0,,,3745,1,1,112A-1-190,
19:40:00,19:40:00,0,0,,,3745,1,1,112-1-179,
19:45:00,19:45:00,0,0,,,3745,1,1,112-1-180,
19:10:00,19:10:00,0,0,,,3745,1,1,112-1-177,
19:35:00,19:35:00,0,0,,,3745,1,1,112-1-178,
22:15:00,22:15:00,0,0,,,3745,1,1,112-1-183,
22:40:00,22:40:00,0,0,,,3745,1,1,112-1-184,
20:30:00,20:30:00,0,0,,,3745,1,1,112-1-181,
21:25:00,21:25:00,0,0,,,3745,1,1,112-1-182,
10:05:00,10:05:00,0,0,,,2489,1,1,114-1-206,
09:50:00,09:50:00,0,0,,,2489,1,1,114-1-205,
11:25:00,11:25:00,0,0,,,2489,1,1,114-1-208,
10:30:00,10:30:00,0,0,,,2489,1,1,114-1-207,
08:35:00,08:35:00,0,0,,,2489,1,1,114-1-202,
08:15:00,08:15:00,0,0,,,2489,1,1,114-1-201,
09:20:00,09:20:00,0,0,,,2489,1,1,114-1-204,
08:45:00,08:45:00,0,0,,,2489,1,1,114-1-203,
07:05:00,07:05:00,0,0,,,2489,1,1,114-1-198,
06:00:00,06:00:00,0,0,,,2489,1,1,114-1-197,
07:40:00,07:40:00,0,0,,,2489,1,1,114-1-200,
07:15:00,07:15:00,0,0,,,2489,1,1,114-1-199,
18:45:00,18:45:00,0,0,,,3745,1,1,112A-1-194,
17:35:00,17:35:00,0,0,,,3745,1,1,112A-1-193,
21:10:00,21:10:00,0,0,,,3745,1,1,112A-1-196,
19:50:00,19:50:00,0,0,,,3745,1,1,112A-1-195,
17:10:00,17:10:00,0,0,,,2489,1,1,114-1-221,
17:40:00,17:40:00,0,0,,,2489,1,1,114-1-222,
18:25:00,18:25:00,0,0,,,2489,1,1,114-1-223,
18:30:00,18:30:00,0,0,,,2489,1,1,114-1-224,
15:05:00,15:05:00,0,0,,,2489,1,1,114-1-217,
15:50:00,15:50:00,0,0,,,2489,1,1,114-1-218,
16:25:00,16:25:00,0,0,,,2489,1,1,114-1-219,
16:30:00,16:30:00,0,0,,,2489,1,1,114-1-220,
13:35:00,13:35:00,0,0,,,2489,1,1,114-1-213,
14:15:00,14:15:00,0,0,,,2489,1,1,114-1-214,
14:45:00,14:45:00,0,0,,,2489,1,1,114-1-215,
15:00:00,15:00:00,0,0,,,2489,1,1,114-1-216,
11:55:00,11:55:00,0,0,,,2489,1,1,114-1-209,
12:00:00,12:00:00,0,0,,,2489,1,1,114-1-210,
12:40:00,12:40:00,0,0,,,2489,1,1,114-1-211,
13:30:00,13:30:00,0,0,,,2489,1,1,114-1-212,
07:10:00,07:10:00,0,0,,,2299,1,1,114B-1-240,
06:00:00,06:00:00,0,0,,,2299,1,1,114B-1-239,
20:40:00,20:40:00,0,0,,,3745,1,1,114A-1-238,
19:10:00,19:10:00,0,0,,,3745,1,1,114A-1-237,
15:25:00,15:25:00,0,0,,,3745,1,1,114A-1-236,
12:45:00,12:45:00,0,0,,,3745,1,1,114A-1-235,
10:50:00,10:50:00,0,0,,,3745,1,1,114A-1-234,
09:20:00,09:20:00,0,0,,,3745,1,1,114A-1-233,
08:00:00,08:00:00,0,0,,,3745,1,1,114A-1-232,
06:50:00,06:50:00,0,0,,,3745,1,1,114A-1-231,
20:50:00,20:50:00,0,0,,,2489,1,1,114-1-230,
20:30:00,20:30:00,0,0,,,2489,1,1,114-1-229,
20:05:00,20:05:00,0,0,,,2489,1,1,114-1-228,
19:55:00,19:55:00,0,0,,,2489,1,1,114-1-227,
19:15:00,19:15:00,0,0,,,2489,1,1,114-1-226,
18:50:00,18:50:00,0,0,,,2489,1,1,114-1-225,
05:55:00,05:55:00,0,0,,,2299,1,1,114C-1-255,
06:10:00,06:10:00,0,0,,,2299,1,1,114C-1-256,
19:40:00,19:40:00,0,0,,,2299,1,1,114B-1-253,
21:10:00,21:10:00,0,0,,,2299,1,1,114B-1-254,
18:00:00,18:00:00,0,0,,,2299,1,1,114B-1-251,
19:00:00,19:00:00,0,0,,,2299,1,1,114B-1-252,
15:55:00,15:55:00,0,0,,,2299,1,1,114B-1-249,
17:10:00,17:10:00,0,0,,,2299,1,1,114B-1-250,
14:15:00,14:15:00,0,0,,,2299,1,1,114B-1-247,
15:05:00,15:05:00,0,0,,,2299,1,1,114B-1-248,
11:20:00,11:20:00,0,0,,,2299,1,1,114B-1-245,
12:35:00,12:35:00,0,0,,,2299,1,1,114B-1-246,
09:15:00,09:15:00,0,0,,,2299,1,1,114B-1-243,
10:30:00,10:30:00,0,0,,,2299,1,1,114B-1-244,
07:35:00,07:35:00,0,0,,,2299,1,1,114B-1-241,
08:50:00,08:50:00,0,0,,,2299,1,1,114B-1-242,
11:00:00,11:00:00,0,0,,,2299,1,1,114C-1-276,
10:45:00,10:45:00,0,0,,,2299,1,1,114C-1-275,
10:35:00,10:35:00,0,0,,,2299,1,1,114C-1-274,
10:25:00,10:25:00,0,0,,,2299,1,1,114C-1-273,
13:10:00,13:10:00,0,0,,,2299,1,1,114C-1-280,
12:55:00,12:55:00,0,0,,,2299,1,1,114C-1-279,
12:10:00,12:10:00,0,0,,,2299,1,1,114C-1-278,
11:40:00,11:40:00,0,0,,,2299,1,1,114C-1-277,
15:00:00,15:00:00,0,0,,,2299,1,1,114C-1-284,
14:55:00,14:55:00,0,0,,,2299,1,1,114C-1-283,
14:40:00,14:40:00,0,0,,,2299,1,1,114C-1-282,
14:35:00,14:35:00,0,0,,,2299,1,1,114C-1-281,
16:10:00,16:10:00,0,0,,,2299,1,1,114C-1-288,
16:05:00,16:05:00,0,0,,,2299,1,1,114C-1-287,
15:55:00,15:55:00,0,0,,,2299,1,1,114C-1-286,
15:25:00,15:25:00,0,0,,,2299,1,1,114C-1-285,
07:15:00,07:15:00,0,0,,,2299,1,1,114C-1-259,
07:30:00,07:30:00,0,0,,,2299,1,1,114C-1-260,
06:50:00,06:50:00,0,0,,,2299,1,1,114C-1-257,
07:00:00,07:00:00,0,0,,,2299,1,1,114C-1-258,
08:15:00,08:15:00,0,0,,,2299,1,1,114C-1-263,
08:30:00,08:30:00,0,0,,,2299,1,1,114C-1-264,
07:45:00,07:45:00,0,0,,,2299,1,1,114C-1-261,
08:10:00,08:10:00,0,0,,,2299,1,1,114C-1-262,
09:10:00,09:10:00,0,0,,,2299,1,1,114C-1-267,
09:15:00,09:15:00,0,0,,,2299,1,1,114C-1-268,
08:45:00,08:45:00,0,0,,,2299,1,1,114C-1-265,
09:00:00,09:00:00,0,0,,,2299,1,1,114C-1-266,
10:00:00,10:00:00,0,0,,,2299,1,1,114C-1-271,
10:15:00,10:15:00,0,0,,,2299,1,1,114C-1-272,
09:35:00,09:35:00,0,0,,,2299,1,1,114C-1-269,
09:45:00,09:45:00,0,0,,,2299,1,1,114C-1-270,
22:00:00,22:00:00,0,0,,,2299,1,1,114C-1-306,
21:45:00,21:45:00,0,0,,,2299,1,1,114C-1-305,
22:10:00,22:10:00,0,0,,,2299,1,1,114C-1-308,
22:05:00,22:05:00,0,0,,,2299,1,1,114C-1-307,
07:15:00,07:15:00,0,0,,,3745,1,1,114D-1-310,
06:50:00,06:50:00,0,0,,,3745,1,1,114D-1-309,
08:45:00,08:45:00,0,0,,,3745,1,1,114D-1-312,
08:20:00,08:20:00,0,0,,,3745,1,1,114D-1-311,
10:10:00,10:10:00,0,0,,,3745,1,1,114D-1-314,
09:50:00,09:50:00,0,0,,,3745,1,1,114D-1-313,
12:10:00,12:10:00,0,0,,,3745,1,1,114D-1-316,
11:45:00,11:45:00,0,0,,,3745,1,1,114D-1-315,
14:15:00,14:15:00,0,0,,,3745,1,1,114D-1-318,
13:40:00,13:40:00,0,0,,,3745,1,1,114D-1-317,
15:45:00,15:45:00,0,0,,,3745,1,1,114D-1-320,
15:10:00,15:10:00,0,0,,,3745,1,1,114D-1-319,
16:20:00,16:20:00,0,0,,,2299,1,1,114C-1-289,
16:30:00,16:30:00,0,0,,,2299,1,1,114C-1-290,
16:55:00,16:55:00,0,0,,,2299,1,1,114C-1-291,
17:20:00,17:20:00,0,0,,,2299,1,1,114C-1-292,
17:40:00,17:40:00,0,0,,,2299,1,1,114C-1-293,
17:50:00,17:50:00,0,0,,,2299,1,1,114C-1-294,
18:00:00,18:00:00,0,0,,,2299,1,1,114C-1-295,
18:20:00,18:20:00,0,0,,,2299,1,1,114C-1-296,
18:25:00,18:25:00,0,0,,,2299,1,1,114C-1-297,
18:30:00,18:30:00,0,0,,,2299,1,1,114C-1-298,
18:50:00,18:50:00,0,0,,,2299,1,1,114C-1-299,
19:35:00,19:35:00,0,0,,,2299,1,1,114C-1-300,
19:50:00,19:50:00,0,0,,,2299,1,1,114C-1-301,
20:05:00,20:05:00,0,0,,,2299,1,1,114C-1-302,
20:20:00,20:20:00,0,0,,,2299,1,1,114C-1-303,
21:05:00,21:05:00,0,0,,,2299,1,1,114C-1-304,
11:55:00,11:55:00,0,0,,,2626,1,1,120-1-344,
11:20:00,11:20:00,0,0,,,2626,1,1,120-1-343,
10:55:00,10:55:00,0,0,,,2626,1,1,120-1-342,
10:05:00,10:05:00,0,0,,,2626,1,1,120-1-341,
09:40:00,09:40:00,0,0,,,2626,1,1,120-1-340,
09:05:00,09:05:00,0,0,,,2626,1,1,120-1-339,
08:40:00,08:40:00,0,0,,,2626,1,1,120-1-338,
08:15:00,08:15:00,0,0,,,2626,1,1,120-1-337,
15:35:00,15:35:00,0,0,,,2626,1,1,120-1-352,
15:00:00,15:00:00,0,0,,,2626,1,1,120-1-351,
14:35:00,14:35:00,0,0,,,2626,1,1,120-1-350,
14:10:00,14:10:00,0,0,,,2626,1,1,120-1-349,
13:45:00,13:45:00,0,0,,,2626,1,1,120-1-348,
13:10:00,13:10:00,0,0,,,2626,1,1,120-1-347,
12:45:00,12:45:00,0,0,,,2626,1,1,120-1-346,
12:20:00,12:20:00,0,0,,,2626,1,1,120-1-345,
09:10:00,09:10:00,0,0,,,2489,1,1,114G-1-327,
11:00:00,11:00:00,0,0,,,2489,1,1,114G-1-328,
20:00:00,20:00:00,0,0,,,3745,1,1,114D-1-325,
07:25:00,07:25:00,0,0,,,2489,1,1,114G-1-326,
18:35:00,18:35:00,0,0,,,3745,1,1,114D-1-323,
19:10:00,19:10:00,0,0,,,3745,1,1,114D-1-324,
16:40:00,16:40:00,0,0,,,3745,1,1,114D-1-321,
17:40:00,17:40:00,0,0,,,3745,1,1,114D-1-322,
17:30:00,17:30:00,0,0,,,2155,1,1,115A-1-335,
07:50:00,07:50:00,0,0,,,2626,1,1,120-1-336,
21:00:00,21:00:00,0,0,,,2489,1,1,114G-1-333,
12:45:00,12:45:00,0,0,,,2155,1,1,115A-1-334,
17:20:00,17:20:00,0,0,,,2489,1,1,114G-1-331,
19:10:00,19:10:00,0,0,,,2489,1,1,114G-1-332,
13:15:00,13:15:00,0,0,,,2489,1,1,114G-1-329,
15:05:00,15:05:00,0,0,,,2489,1,1,114G-1-330,
09:30:00,09:30:00,0,0,,,3745,1,1,125E-1-374,
07:55:00,07:55:00,0,0,,,3745,1,1,125E-1-373,
13:25:00,13:25:00,0,0,,,3745,1,1,125E-1-376,
12:20:00,12:20:00,0,0,,,3745,1,1,125E-1-375,
20:25:00,20:25:00,0,0,,,3745,1,1,123-1-370,
19:15:00,19:15:00,0,0,,,3745,1,1,123-1-369,
06:50:00,06:50:00,0,0,,,3745,1,1,125E-1-372,
22:00:00,22:00:00,0,0,,,3745,1,1,123-1-371,
08:55:00,08:55:00,0,0,,,2299,1,1,126-1-382,
20:50:00,20:50:00,0,0,,,3745,1,1,125E-1-381,
17:55:00,17:55:00,0,0,,,2299,1,1,126-1-384,
10:35:00,10:35:00,0,0,,,2299,1,1,126-1-383,
15:30:00,15:30:00,0,0,,,3745,1,1,125E-1-378,
14:25:00,14:25:00,0,0,,,3745,1,1,125E-1-377,
19:45:00,19:45:00,0,0,,,3745,1,1,125E-1-380,
18:40:00,18:40:00,0,0,,,3745,1,1,125E-1-379,
08:30:00,08:30:00,0,0,,,3745,1,1,121A-1-357,
17:35:00,17:35:00,0,0,,,3745,1,1,121A-1-358,
19:05:00,19:05:00,0,0,,,3745,1,1,121A-1-359,
11:05:00,11:05:00,0,0,,,2299,1,1,122-1-360,
16:25:00,16:25:00,0,0,,,2626,1,1,120-1-353,
16:50:00,16:50:00,0,0,,,2626,1,1,120-1-354,
17:15:00,17:15:00,0,0,,,2626,1,1,120-1-355,
06:35:00,06:35:00,0,0,,,3745,1,1,121A-1-356,
09:25:00,09:25:00,0,0,,,3745,1,1,123-1-365,
10:45:00,10:45:00,0,0,,,3745,1,1,123-1-366,
16:10:00,16:10:00,0,0,,,3745,1,1,123-1-367,
18:00:00,18:00:00,0,0,,,3745,1,1,123-1-368,
13:05:00,13:05:00,0,0,,,2299,1,1,122-1-361,
18:15:00,18:15:00,0,0,,,2299,1,1,122-1-362,
20:10:00,20:10:00,0,0,,,2299,1,1,122-1-363,
08:15:00,08:15:00,0,0,,,3745,1,1,123-1-364,
16:05:00,16:05:00,0,0,,,2299,1,1,129-1-411,
16:10:00,16:10:00,0,0,,,2299,1,1,129-1-412,
11:40:00,11:40:00,0,0,,,2299,1,1,129-1-409,
15:05:00,15:05:00,0,0,,,2299,1,1,129-1-410,
19:35:00,19:35:00,0,0,,,2299,1,1,129-1-415,
20:35:00,20:35:00,0,0,,,2299,1,1,129-1-416,
18:50:00,18:50:00,0,0,,,2299,1,1,129-1-413,
19:30:00,19:30:00,0,0,,,2299,1,1,129-1-414,
14:30:00,14:30:00,0,0,,,3745,1,1,128-1-403,
18:15:00,18:15:00,0,0,,,3745,1,1,128-1-404,
12:30:00,12:30:00,0,0,,,3745,1,1,128-1-401,
13:30:00,13:30:00,0,0,,,3745,1,1,128-1-402,
07:35:00,07:35:00,0,0,,,2299,1,1,129-1-407,
10:15:00,10:15:00,0,0,,,2299,1,1,129-1-408,
05:55:00,05:55:00,0,0,,,2299,1,1,129-1-405,
06:45:00,06:45:00,0,0,,,2299,1,1,129-1-406,
15:50:00,15:50:00,0,0,,,2489,1,1,126A-1-396,
14:30:00,14:30:00,0,0,,,2489,1,1,126A-1-395,
14:15:00,14:15:00,0,0,,,2489,1,1,126A-1-394,
12:40:00,12:40:00,0,0,,,2489,1,1,126A-1-393,
11:10:00,11:10:00,0,0,,,3745,1,1,128-1-400,
09:00:00,09:00:00,0,0,,,3745,1,1,128-1-399,
18:55:00,18:55:00,0,0,,,2489,1,1,126A-1-398,
18:30:00,18:30:00,0,0,,,2489,1,1,126A-1-397,
07:45:00,07:45:00,0,0,,,2489,1,1,126A-1-388,
06:55:00,06:55:00,0,0,,,2489,1,1,126A-1-387,
21:30:00,21:30:00,0,0,,,2299,1,1,126-1-386,
19:40:00,19:40:00,0,0,,,2299,1,1,126-1-385,
10:45:00,10:45:00,0,0,,,2489,1,1,126A-1-392,
10:00:00,10:00:00,0,0,,,2489,1,1,126A-1-391,
09:15:00,09:15:00,0,0,,,2489,1,1,126A-1-390,
08:30:00,08:30:00,0,0,,,2489,1,1,126A-1-389,
11:00:00,11:00:00,0,0,,,3745,1,1,13-1-441,
13:10:00,13:10:00,0,0,,,3745,1,1,13-1-442,
14:40:00,14:40:00,0,0,,,3745,1,1,13-1-443,
14:55:00,14:55:00,0,0,,,3745,1,1,13-1-444,
16:35:00,16:35:00,0,0,,,3745,1,1,13-1-445,
16:45:00,16:45:00,0,0,,,3745,1,1,13-1-446,
18:25:00,18:25:00,0,0,,,3745,1,1,13-1-447,
18:40:00,18:40:00,0,0,,,3745,1,1,13-1-448,
18:30:00,18:30:00,0,0,,,2299,1,1,12E-1-433,
20:20:00,20:20:00,0,0,,,2299,1,1,12E-1-434,
20:40:00,20:40:00,0,0,,,2299,1,1,12E-1-435,
