Train_id,Train_name,Train_no,Source,Destitnation,Date,Distance(Km),Sc_arr__time,Act_arr_time,Dealy_min,Season,Run_frequency
G1,Garib Rath Express,12377, Kolkata, New Delhi,01-01-2016 00:00,1318,08:00:00,08:20:00,00:20:00,Winter, Tri-Weekly
G2,Garib Rath Express,12377, Kolkata, New Delhi,01-01-2017 00:00,1318,08:00:00,09:00:00,01:00:00,Winter, Tri-Weekly
G3,Garib Rath Express,12377, Kolkata, New Delhi,01-01-2018 00:00,1318,08:00:00,08:05:00,00:05:00,Winter, Tri-Weekly
G4,Garib Rath Express,12377, Kolkata, New Delhi,01-01-2019 00:00,1318,08:00:00,08:10:00,00:10:00,Winter, Tri-Weekly
G5,Garib Rath Express,12377, Kolkata, New Delhi,01-01-2020 00:00,1318,08:00:00,08:20:00,00:20:00,Winter, Tri-Weekly
G6,Garib Rath Express,12377, Kolkata, New Delhi,01-01-2021 00:00,1318,08:00:00,08:23:00,00:23:00,Winter, Tri-Weekly
G7,Garib Rath Express,12377, Kolkata, New Delhi,01-01-2022 00:00,1318,08:00:00,08:11:00,00:11:00,Winter, Tri-Weekly
G8,Garib Rath Express,12377, Kolkata, New Delhi,01-01-2023 00:00,1318,08:00:00,08:00:00,00:00:00,Winter, Tri-Weekly
G9,Garib Rath Express,12377, Kolkata, New Delhi,01-01-2024 00:00,1318,08:00:00,09:40:00,01:40:00,Winter, Tri-Weekly
G10,Garib Rath Express,12377, Kolkata, New Delhi,01-01-2025 00:00,1318,08:00:00,08:25:00,00:25:00,Winter, Tri-Weekly
S1,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,01-01-2016 00:00,707,06:00:00,06:10:00,00:10:00,Winter,Daliy
S2,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,01-01-2017 00:00,707,06:00:00,07:10:00,01:10:00,Winter,Daliy
S3,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,01-01-2018 00:00,707,06:00:00,08:10:00,02:10:00,Winter,Daliy
S4,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,01-01-2019 00:00,707,06:00:00,06:25:00,00:25:00,Winter,Daliy
S5,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,01-01-2020 00:00,707,06:00:00,06:05:00,00:05:00,Winter,Daliy
S6,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,01-01-2021 00:00,707,06:00:00,06:45:00,00:45:00,Winter,Daliy
S7,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,01-01-2022 00:00,707,06:00:00,06:15:00,00:15:00,Winter,Daliy
S8,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,01-01-2023 00:00,707,06:00:00,07:00:00,01:00:00,Winter,Daliy
S9,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,01-01-2024 00:00,707,06:00:00,06:20:00,00:20:00,Winter,Daliy
S10,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,01-01-2025 00:00,707,06:00:00,06:09:00,00:09:00,Winter,Daliy
L1,Lucknow Mail,12229,Lucknow, New Delhi,01-01-2016 00:00,491,10:00:00,10:01:00,00:01:00,Winter,Daliy
L2,Lucknow Mail,12229,Lucknow, New Delhi,01-01-2017 00:00,491,10:00:00,10:14:00,00:14:00,Winter,Daliy
L3,Lucknow Mail,12229,Lucknow, New Delhi,01-01-2018 00:00,491,10:00:00,10:45:00,00:45:00,Winter,Daliy
L4,Lucknow Mail,12229,Lucknow, New Delhi,01-01-2019 00:00,491,10:00:00,11:10:00,01:10:00,Winter,Daliy
L5,Lucknow Mail,12229,Lucknow, New Delhi,01-01-2020 00:00,491,10:00:00,10:05:00,00:05:00,Winter,Daliy
L6,Lucknow Mail,12229,Lucknow, New Delhi,01-01-2021 00:00,491,10:00:00,10:23:00,00:23:00,Winter,Daliy
L7,Lucknow Mail,12229,Lucknow, New Delhi,01-01-2022 00:00,491,10:00:00,10:14:00,00:14:00,Winter,Daliy
L8,Lucknow Mail,12229,Lucknow, New Delhi,01-01-2023 00:00,491,10:00:00,10:29:00,00:29:00,Winter,Daliy
L9,Lucknow Mail,12229,Lucknow, New Delhi,01-01-2024 00:00,491,10:00:00,10:20:00,00:20:00,Winter,Daliy
L10,Lucknow Mail,12229,Lucknow, New Delhi,01-01-2025 00:00,491,10:00:00,10:34:00,00:34:00,Winter,Daliy
K1,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,01-01-2016 00:00,742,10:00:00,10:00:00,00:00:00,Winter,Daliy
K2,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,01-01-2017 00:00,742,17:20:00,17:40:00,00:20:00,Winter,Daliy
K3,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,01-01-2018 00:00,742,17:20:00,18:00:00,00:40:00,Winter,Daliy
K4,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,01-01-2019 00:00,742,17:20:00,17:23:00,00:03:00,Winter,Daliy
K5,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,01-01-2020 00:00,742,17:20:00,17:25:00,00:05:00,Winter,Daliy
K6,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,01-01-2021 00:00,742,17:20:00,18:15:00,00:55:00,Winter,Daliy
K7,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,01-01-2022 00:00,742,17:20:00,18:05:00,00:45:00,Winter,Daliy
K8,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,01-01-2023 00:00,742,17:20:00,18:25:00,01:05:00,Winter,Daliy
K9,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,01-01-2024 00:00,742,01-01-1900 17:20,17:20:00,00:00:00,Winter,Daliy
K10,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,01-01-2025 00:00,742,01-01-1900 17:20,17:59:00,00:39:00,Winter,Daliy
Y1,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,01-01-2016 00:00,1915,04:30:00,05:00:00,00:30:00,Winter,Daliy
Y2,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,01-01-2017 00:00,1915,04:30:00,04:39:00,00:09:00,Winter,Daliy
Y3,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,01-01-2018 00:00,1915,04:30:00,04:44:00,00:14:00,Winter,Daliy
Y4,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,01-01-2019 00:00,1915,04:30:00,04:50:00,20-01-1900 00:20,Winter,Daliy
Y5,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,01-01-2020 00:00,1915,04:30:00,04:31:00,00:01:00,Winter,Daliy
Y6,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,01-01-2021 00:00,1915,04:30:00,04:30:00,00:00:00,Winter,Daliy
Y7,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,01-01-2022 00:00,1915,04:30:00,04:50:00,00:20:00,Winter,Daliy
Y8,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,01-01-2023 00:00,1915,04:30:00,08:34:00,04:04:00,Winter,Daliy
Y9,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,01-01-2024 00:00,1915,04:30:00,07:38:00,03:08:00,Winter,Daliy
Y10,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,01-01-2025 00:00,1915,04:30:00,05:30:00,01:00:00,Winter,Daliy
D1,Vivek Express,15906,Dibrugarh,Kanyakumari,01-01-2016 00:00,4198,19:25:00,19:30:00,00:05:00,Winter,Weekly
D2,Vivek Express,15906,Dibrugarh,Kanyakumari,01-01-2017 00:00,4198,19:25:00,20:00:00,00:35:00,Winter,Weekly
D3,Vivek Express,15906,Dibrugarh,Kanyakumari,01-01-2018 00:00,4198,19:25:00,20:23:00,01:03:00,Winter,Weekly
D4,Vivek Express,15906,Dibrugarh,Kanyakumari,01-01-2019 00:00,4198,19:25:00,19:40:00,00:15:00,Winter,Weekly
D5,Vivek Express,15906,Dibrugarh,Kanyakumari,01-01-2020 00:00,4198,19:25:00,19:46:00,00:22:00,Winter,Weekly
D6,Vivek Express,15906,Dibrugarh,Kanyakumari,02-01-2021 00:00,4198,01-01-1900 19:25,19:25:00,00:00:00,Winter,Weekly
D7,Vivek Express,15906,Dibrugarh,Kanyakumari,03-01-2022 00:00,4198,01-01-1900 19:25,19:26:00,00:01:00,Winter,Weekly
D8,Vivek Express,15906,Dibrugarh,Kanyakumari,04-01-2023 00:00,4198,01-01-1900 19:25,19:34:00,00:09:00,Winter,Weekly
D9,Vivek Express,15906,Dibrugarh,Kanyakumari,01-01-2024 00:00,4198,01-01-1900 19:25,19:47:00,00:23:00,Winter,Weekly
D10,Vivek Express,15906,Dibrugarh,Kanyakumari,01-01-2025 00:00,4198,01-01-1900 19:25,19:56:00,00:31:00,Winter,Weekly
